game_age,owners_mean,total_reviews,positive_ratio,num_languages,num_genres,windows,mac,linux,dlc_count,genre_Indie,genre_Action,genre_Adventure,genre_Casual,genre_RPG,genre_Strategy,genre_Simulation,precos_categorizados
8,10000.0,17861,0.7298583505962712,12,2,1,1,1,0,0,1,1,0,0,0,0,medio_alto
6,10000.0,6,1.0,1,4,1,0,0,0,1,0,0,1,0,0,1,alto
11,750000.0,1513,0.41771315267680104,1,4,1,0,0,0,1,0,1,0,1,0,0,baixo
2,10000.0,2,0.5,1,3,1,0,0,0,1,0,0,1,0,0,1,medio_baixo
2,10000.0,26,0.7307692307692307,10,4,1,0,0,0,1,1,1,0,1,0,0,alto
2,10000.0,6,1.0,1,2,1,0,0,0,1,0,0,1,0,0,0,medio_baixo
3,10000.0,39,0.8717948717948718,1,2,1,1,1,0,1,0,0,1,0,0,0,medio_baixo
1,10000.0,0,0.0,6,2,1,0,0,1,0,1,0,0,0,0,0,medio_alto
1,10000.0,209,0.7655502392344498,4,5,1,0,0,0,1,0,1,0,1,1,1,medio_alto
6,10000.0,1,0.0,8,3,1,0,0,0,1,1,0,0,0,0,0,medio_baixo
10,10000.0,12,0.5833333333333334,7,2,1,0,0,0,0,0,0,1,0,0,1,medio_alto
1,0.0,0,0.0,1,3,1,0,0,0,1,1,0,1,0,0,0,baixo
1,0.0,0,0.0,1,2,1,0,0,0,1,0,1,0,0,0,0,alto
8,10000.0,7,0.8571428571428571,1,3,1,0,0,0,1,1,0,0,0,0,1,medio_baixo
5,150000.0,3921,0.9242540168324407,8,1,1,1,1,3,0,0,1,0,0,0,0,medio_baixo
4,0.0,0,0.0,1,3,1,0,0,0,0,0,0,0,0,0,0,gratuito
1,10000.0,17,0.8823529411764706,4,1,1,0,0,0,0,1,0,0,0,0,0,alto
2,35000.0,779,0.8818998716302953,3,2,1,0,0,0,0,0,0,1,1,0,0,alto
5,75000.0,87,0.9655172413793104,1,2,1,0,0,0,1,1,0,0,0,0,0,alto
2,0.0,0,0.0,103,1,1,0,0,0,0,0,0,1,0,0,0,baixo
5,10000.0,6,0.16666666666666666,1,2,1,0,0,0,1,1,0,0,0,0,0,baixo
5,10000.0,26,0.8846153846153846,7,3,1,1,1,0,1,1,0,1,0,0,0,baixo
1,10000.0,0,0.0,1,2,1,0,0,1,1,0,0,1,0,0,0,medio_alto
8,10000.0,15,0.8,1,5,1,0,0,0,1,1,0,1,0,0,0,baixo
6,10000.0,5,0.8,2,2,1,0,0,0,1,0,0,1,0,0,0,medio_baixo
5,35000.0,34,0.7058823529411765,18,4,1,0,0,0,1,0,1,1,0,0,0,medio_baixo
1,0.0,0,0.0,3,1,1,0,0,0,0,0,0,0,1,0,0,alto
10,35000.0,126,0.5873015873015873,1,1,1,1,0,0,0,0,0,0,1,0,0,baixo
7,350000.0,6365,0.9571091908876669,15,4,1,1,0,0,1,1,1,0,1,0,0,medio_alto
4,150000.0,0,0.0,4,4,1,0,0,0,0,1,0,1,0,1,0,gratuito
2,0.0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,gratuito
2,10000.0,15,0.9333333333333333,2,3,1,0,0,0,1,1,0,1,0,0,0,alto
1,10000.0,0,0.0,9,2,1,0,0,1,1,1,0,0,0,0,0,medio_baixo
11,10000.0,78,0.3333333333333333,7,3,1,1,1,0,1,0,0,0,0,1,1,medio_baixo
7,10000.0,3,0.6666666666666666,2,2,1,0,0,0,1,0,0,1,0,0,0,medio_baixo
1,0.0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,gratuito
12,750000.0,3306,0.8366606170598911,19,5,1,0,0,12,1,0,0,1,0,1,0,gratuito
1,10000.0,0,0.0,4,3,1,0,0,0,0,0,1,1,0,0,1,medio_alto
13,35000.0,622,0.702572347266881,1,2,1,0,0,0,0,1,1,0,0,0,0,medio_baixo
1,0.0,0,0.0,1,3,1,0,0,0,1,0,1,0,0,0,0,gratuito
4,10000.0,3,0.0,2,2,1,0,0,0,0,0,0,1,0,0,0,medio_alto
3,10000.0,0,0.0,3,1,1,0,1,0,0,0,0,0,0,0,1,medio_baixo
2,35000.0,5,1.0,2,2,1,1,0,0,1,0,0,1,0,0,0,baixo
6,10000.0,0,0.0,2,2,1,0,0,0,0,0,0,0,0,1,1,medio_alto
8,10000.0,60,0.6666666666666666,1,4,1,0,0,0,1,0,1,0,0,0,0,medio_baixo
7,10000.0,2,1.0,1,4,1,0,0,0,1,1,0,1,0,0,0,medio_alto
1,10000.0,0,0.0,20,2,1,0,0,0,1,0,0,1,0,0,0,baixo
1,0.0,0,0.0,3,3,1,0,0,0,1,1,1,0,0,0,0,medio_alto
7,10000.0,12,0.6666666666666666,1,4,1,0,0,0,1,0,1,0,1,0,0,gratuito
1,0.0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,gratuito
5,10000.0,84,0.9166666666666666,2,2,1,0,0,0,1,0,1,0,0,0,0,baixo
5,0.0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,gratuito
8,10000.0,15,0.6,1,4,1,1,0,0,1,0,0,1,0,1,1,medio_alto
3,10000.0,5,1.0,1,1,1,0,0,0,1,0,0,0,0,0,0,medio_alto
7,10000.0,27,0.8888888888888888,1,3,1,0,0,0,1,1,1,0,0,0,0,medio_baixo
6,10000.0,15,0.8666666666666667,4,1,1,0,1,0,0,0,0,0,0,0,0,medio_alto
2,10000.0,0,0.0,1,3,1,1,1,0,1,0,1,1,0,0,0,medio_baixo
3,10000.0,0,0.0,9,2,1,1,0,0,0,0,0,0,0,1,0,gratuito
9,10000.0,37,0.8108108108108109,3,2,1,0,0,0,0,0,0,1,0,0,1,medio_baixo
5,10000.0,8,0.875,103,3,1,0,0,0,1,1,1,0,0,0,0,medio_alto
2,10000.0,6,0.6666666666666666,30,5,1,0,0,0,1,1,0,1,0,1,1,baixo
1,10000.0,4,1.0,1,2,1,0,0,0,1,0,0,1,0,0,0,baixo
2,10000.0,1,0.0,1,1,1,0,0,0,0,0,0,0,1,0,0,medio_baixo
1,10000.0,0,0.0,10,2,1,0,0,0,0,0,0,0,0,0,1,medio_baixo
3,10000.0,6,1.0,1,4,1,0,0,0,1,1,0,1,1,0,0,medio_baixo
1,10000.0,24,0.5833333333333334,20,3,1,0,0,0,1,1,1,0,0,0,0,alto
8,10000.0,4,0.5,1,3,1,1,0,0,1,1,0,0,1,0,0,baixo
3,10000.0,270,0.5740740740740741,9,3,1,0,0,0,0,1,1,0,0,0,1,medio_baixo
1,10000.0,0,0.0,1,1,1,0,0,0,0,0,0,1,0,0,0,alto
2,10000.0,2,0.5,1,2,1,0,0,0,1,0,0,0,0,0,1,alto
5,0.0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,gratuito
3,10000.0,9,1.0,1,2,1,0,0,0,1,0,0,1,0,0,0,baixo
3,10000.0,0,0.0,1,4,1,0,0,0,1,1,0,0,0,0,1,alto
2,10000.0,0,0.0,1,5,1,0,0,0,1,1,1,0,0,1,1,medio_baixo
2,10000.0,15,0.8,1,2,1,1,0,0,0,0,1,0,0,0,0,gratuito
8,10000.0,80,0.7,1,2,1,1,1,0,1,1,0,0,0,0,0,baixo
10,350000.0,289,0.7889273356401384,1,3,1,0,0,0,1,0,1,0,0,0,1,baixo
1,10000.0,0,0.0,2,4,1,0,0,0,1,0,0,1,0,1,1,alto
7,10000.0,40,0.575,1,2,1,0,0,3,1,0,0,1,0,0,0,baixo
2,0.0,0,0.0,1,2,1,0,0,0,1,0,0,0,0,0,0,gratuito
11,75000.0,75,0.4,1,6,1,0,0,0,1,0,1,0,1,1,1,alto
8,10000.0,2,0.5,1,2,1,0,0,0,1,1,0,0,0,0,0,baixo
7,10000.0,10,0.6,1,2,1,0,0,0,1,0,0,0,0,1,0,baixo
10,35000.0,106,0.5754716981132075,1,3,1,0,0,0,1,1,1,0,0,0,0,baixo
4,0.0,0,0.0,3,3,1,0,0,0,0,1,1,0,0,0,0,gratuito
6,35000.0,1,1.0,1,5,1,0,0,0,1,1,1,1,0,0,0,medio_alto
2,0.0,0,0.0,2,3,1,1,1,0,1,0,0,0,1,0,0,gratuito
17,35000.0,156,0.8269230769230769,1,1,1,0,0,0,0,0,1,0,0,0,0,medio_alto
5,0.0,0,0.0,5,3,1,0,0,1,1,1,0,0,0,0,0,gratuito
4,10000.0,32,0.875,1,2,1,0,0,0,1,0,0,0,0,1,0,medio_baixo
6,10000.0,10,0.0,1,3,1,0,0,0,1,1,1,0,0,0,0,alto
9,10000.0,30,0.5666666666666667,1,2,1,0,0,0,1,0,0,1,0,0,0,baixo
5,10000.0,19,0.9473684210526315,1,4,1,0,0,0,1,1,1,1,0,0,0,alto
1,10000.0,19,0.7894736842105263,2,2,1,0,0,0,1,1,0,0,0,0,0,medio_baixo
7,10000.0,19,0.3684210526315789,1,5,1,0,0,0,1,0,1,1,1,0,1,medio_alto
5,150000.0,585,0.9196581196581196,2,4,1,0,0,0,1,0,1,0,1,1,0,baixo
2,0.0,0,0.0,1,3,1,0,0,0,0,1,0,1,0,0,0,gratuito
3,10000.0,166,0.6867469879518072,13,1,1,0,0,0,0,0,0,0,0,0,1,alto
1,10000.0,3,1.0,1,2,1,0,0,0,1,0,0,1,0,0,0,medio_baixo
2,0.0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,gratuito
1,10000.0,0,0.0,1,2,1,0,0,1,1,0,0,0,0,1,0,medio_alto
2,10000.0,22,1.0,1,1,1,0,0,0,1,0,0,0,0,0,0,medio_baixo
1,10000.0,0,0.0,4,1,1,0,0,0,0,1,0,0,0,0,0,gratuito
1,35000.0,29,0.7586206896551724,2,2,1,0,0,0,1,0,1,0,0,0,0,baixo
1,0.0,0,0.0,9,4,1,0,0,0,1,1,1,0,1,0,0,alto
3,3500000.0,58692,0.4344203639337559,14,3,1,0,0,22,0,1,1,0,1,0,0,alto
2,0.0,0,0.0,103,2,1,0,0,0,1,0,1,0,0,0,0,medio_baixo
2,10000.0,1,0.0,1,3,1,0,0,1,1,0,1,0,1,0,0,alto
3,10000.0,6,1.0,7,3,1,0,0,0,1,1,1,0,0,0,0,medio_alto
4,10000.0,23,0.9130434782608695,1,4,1,0,0,0,1,1,1,0,1,0,0,medio_baixo
2,0.0,0,0.0,1,4,1,0,0,0,1,1,1,0,0,0,0,gratuito
4,35000.0,4,0.75,3,3,1,0,0,0,1,0,0,0,1,1,0,baixo
1,0.0,0,0.0,5,2,1,0,0,0,1,1,0,0,0,0,0,baixo
12,350000.0,425,0.7858823529411765,6,2,1,0,0,0,0,0,0,1,0,1,0,baixo
3,35000.0,538,0.8810408921933085,3,4,1,0,0,0,1,0,1,1,1,0,0,alto
7,10000.0,95,0.5894736842105263,1,3,1,1,1,0,0,0,0,0,0,0,0,alto
3,10000.0,12,0.8333333333333334,7,3,1,0,0,0,1,1,0,1,0,0,0,baixo
1,10000.0,3,1.0,15,2,1,0,0,0,1,0,0,1,0,0,0,baixo
10,10000.0,47,0.7659574468085106,1,4,1,0,0,0,1,0,0,0,0,0,0,baixo
2,0.0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,gratuito
1,10000.0,0,0.0,13,4,1,0,0,0,1,0,1,1,0,1,0,alto
1,10000.0,0,0.0,1,2,1,1,1,0,0,0,0,0,0,0,1,alto
8,10000.0,77,0.6103896103896104,1,5,1,0,0,0,1,0,1,1,0,1,1,medio_alto
1,0.0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,gratuito
1,10000.0,0,0.0,16,1,1,0,0,0,0,0,0,0,0,1,0,medio_baixo
6,10000.0,34,0.7058823529411765,1,3,1,0,0,0,1,0,0,1,0,0,0,gratuito
3,10000.0,3,1.0,1,3,1,1,1,0,1,1,1,0,0,0,0,baixo
6,75000.0,2,0.0,1,5,1,1,1,0,1,0,1,1,0,0,1,medio_alto
2,10000.0,1,1.0,1,4,1,0,0,0,1,1,0,1,0,0,0,medio_alto
3,10000.0,2,1.0,1,3,1,0,0,0,0,1,1,1,0,0,0,baixo
5,10000.0,0,0.0,1,2,1,0,0,1,1,0,0,1,0,0,0,baixo
3,10000.0,34,1.0,1,3,1,1,1,0,1,0,0,1,0,1,0,medio_alto
2,10000.0,0,0.0,29,4,1,0,0,0,1,0,0,1,0,0,1,gratuito
1,0.0,0,0.0,2,6,1,0,0,0,1,0,1,1,1,1,0,gratuito
7,10000.0,119,0.8403361344537815,10,2,1,0,0,0,1,0,0,0,0,0,1,alto
1,10000.0,11,1.0,1,3,1,0,0,0,0,1,0,0,0,1,1,alto
2,10000.0,25,0.8,2,4,1,0,1,0,1,0,0,1,0,0,1,gratuito
5,75000.0,51,0.8823529411764706,1,5,1,1,0,0,1,0,1,1,1,1,0,alto
2,0.0,0,0.0,1,4,1,0,0,1,1,0,0,0,1,0,0,gratuito
1,10000.0,57,0.6666666666666666,12,4,1,0,0,0,1,1,1,0,0,0,1,medio_alto
8,10000.0,16,0.5625,1,4,1,0,0,0,1,1,1,1,0,0,0,baixo
1,10000.0,0,0.0,1,2,1,0,0,0,1,1,0,0,0,0,0,medio_baixo
3,10000.0,11,0.9090909090909091,6,3,1,0,0,0,1,0,0,1,0,1,0,medio_baixo
1,0.0,0,0.0,11,3,1,0,0,0,0,0,0,0,0,0,0,baixo
6,150000.0,24,0.9166666666666666,4,4,1,0,0,0,1,1,0,1,0,0,0,gratuito
6,10000.0,188,0.5691489361702128,2,7,1,0,0,0,1,1,1,1,0,0,1,alto
7,10000.0,5,0.4,1,2,1,0,0,0,0,0,0,0,0,1,1,baixo
9,75000.0,50,0.66,1,5,1,0,0,0,1,0,1,1,1,1,0,baixo
7,10000.0,16,1.0,1,7,1,0,0,0,1,1,1,1,1,1,1,medio_alto
2,10000.0,319,0.9717868338557993,1,4,1,1,1,0,1,1,1,0,0,0,0,alto
10,75000.0,67,0.6716417910447762,1,4,1,0,0,0,1,0,1,1,1,0,0,baixo
6,10000.0,20,0.9,29,5,1,0,0,0,1,1,1,1,0,0,0,medio_baixo
9,10000.0,8,0.5,1,3,1,0,0,0,0,0,0,1,0,0,1,medio_baixo
5,0.0,0,0.0,1,1,1,0,0,0,0,1,0,0,0,0,0,gratuito
8,75000.0,44,0.9090909090909091,1,4,1,0,0,0,1,0,0,1,0,0,1,alto
5,75000.0,333,0.7657657657657657,9,2,1,0,1,1,1,0,1,0,0,0,0,medio_baixo
1,0.0,0,0.0,1,3,1,0,0,0,0,0,1,1,0,0,0,medio_baixo
8,10000.0,2,0.5,1,3,1,0,0,0,0,1,1,0,0,1,0,alto
3,10000.0,178,0.9662921348314607,1,4,1,0,0,0,1,1,1,0,0,0,0,medio_baixo
7,10000.0,4,0.5,1,4,1,1,1,0,1,1,0,1,0,0,0,baixo
1,10000.0,35,0.8285714285714286,3,3,1,0,0,0,1,1,0,0,0,0,0,baixo
2,10000.0,2,1.0,4,2,1,0,0,0,1,0,0,0,0,0,0,medio_baixo
8,35000.0,99,0.6161616161616161,1,3,1,0,0,0,1,1,0,0,0,0,0,gratuito
13,350000.0,2226,0.8796046720575023,6,2,1,1,1,0,0,1,0,0,0,1,0,baixo
4,10000.0,152,0.9210526315789473,1,1,1,1,1,0,0,0,1,0,0,0,0,medio_baixo
4,10000.0,6,1.0,1,4,1,1,1,0,1,1,1,1,0,0,0,medio_alto
1,10000.0,0,0.0,1,2,1,0,0,0,1,0,0,0,0,0,1,medio_alto
3,10000.0,1,0.0,4,1,1,0,0,0,0,0,0,1,0,0,0,medio_baixo
1,10000.0,0,0.0,1,1,1,0,0,0,0,0,0,1,0,0,0,baixo
4,0.0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,gratuito
1,10000.0,2,1.0,2,2,1,0,1,0,1,0,0,1,0,0,0,alto
9,10000.0,17,0.7647058823529411,1,3,1,1,1,0,1,1,1,0,0,0,0,baixo
2,10000.0,6,1.0,1,3,1,1,0,0,1,1,1,0,0,0,0,medio_alto
